product_name,brand,category,review_text,rating,sentiment,skin_type,review_date,price_range,verified_purchase
Sunscreen SPF 50,SunSafe,Sunscreen,Very disappointing product,1,Negative,Combination,28-05-2023,Mid,Yes
Hydrating Face Cream,NeutriGlow,Moisturizer,"Average results, expected more",3,Neutral,Normal,16-09-2023,Mid,Yes
Aloe Vera Gel,NatureCare,Gel,Very disappointing product,2,Negative,Normal,08-03-2024,Low,Yes
Aloe Vera Gel,NatureCare,Gel,Highly recommended for daily use,4,Positive,Oily,25-04-2022,Low,No
Vitamin C Serum,SkinPure,Serum,Did not suit my skin,1,Negative,Dry,18-06-2024,High,Yes
Sunscreen SPF 50,SunSafe,Sunscreen,Caused irritation and redness,1,Negative,Normal,24-02-2024,Mid,Yes
Sunscreen SPF 50,SunSafe,Sunscreen,I can see visible results within a week,5,Positive,Dry,29-09-2022,Mid,No
Anti-Acne Face Wash,ClearSkin,Cleanser,Not worth the money,2,Negative,Combination,13-02-2023,Low,No
Anti-Acne Face Wash,ClearSkin,Cleanser,Very effective and gentle on my skin,4,Positive,Oily,11-09-2022,Low,Yes
Aloe Vera Gel,NatureCare,Gel,Very disappointing product,1,Negative,Normal,22-07-2023,Low,Yes
Vitamin C Serum,SkinPure,Serum,Caused irritation and redness,1,Negative,Oily,26-12-2023,High,Yes
Hydrating Face Cream,NeutriGlow,Moisturizer,No improvement after usage,1,Negative,Combination,14-03-2022,Mid,Yes
Sunscreen SPF 50,SunSafe,Sunscreen,Caused irritation and redness,2,Negative,Normal,16-05-2022,Mid,No
Sunscreen SPF 50,SunSafe,Sunscreen,"Amazing product, worth the price",4,Positive,Dry,07-04-2022,Mid,Yes
Aloe Vera Gel,NatureCare,Gel,Very effective and gentle on my skin,4,Positive,Sensitive,24-04-2023,Low,Yes
Hydrating Face Cream,NeutriGlow,Moisturizer,I can see visible results within a week,4,Positive,Combination,30-03-2024,Mid,Yes
Vitamin C Serum,SkinPure,Serum,Not worth the money,2,Negative,Normal,05-04-2023,High,Yes
Vitamin C Serum,SkinPure,Serum,Decent product for the price,3,Neutral,Sensitive,13-09-2022,High,Yes
Anti-Acne Face Wash,ClearSkin,Cleanser,Did not suit my skin,1,Negative,Oily,30-10-2023,Low,Yes
Vitamin C Serum,SkinPure,Serum,Caused irritation and redness,2,Negative,Sensitive,13-05-2023,High,No
Sunscreen SPF 50,SunSafe,Sunscreen,Not worth the money,1,Negative,Dry,24-01-2023,Mid,Yes
Aloe Vera Gel,NatureCare,Gel,I can see visible results within a week,4,Positive,Combination,10-03-2023,Low,No
Vitamin C Serum,SkinPure,Serum,Not bad but takes time to show effect,3,Neutral,Dry,01-03-2022,High,Yes
Hydrating Face Cream,NeutriGlow,Moisturizer,Did not suit my skin,1,Negative,Normal,04-05-2023,Mid,Yes
Anti-Acne Face Wash,ClearSkin,Cleanser,Caused irritation and redness,1,Negative,Dry,12-03-2022,Low,Yes
Sunscreen SPF 50,SunSafe,Sunscreen,Very disappointing product,1,Negative,Normal,10-09-2022,Mid,Yes
Hydrating Face Cream,NeutriGlow,Moisturizer,Highly recommended for daily use,4,Positive,Normal,02-08-2023,Mid,No
Vitamin C Serum,SkinPure,Serum,"Average results, expected more",3,Neutral,Dry,29-09-2022,High,No
Aloe Vera Gel,NatureCare,Gel,Very effective and gentle on my skin,4,Positive,Combination,09-02-2024,Low,Yes
Sunscreen SPF 50,SunSafe,Sunscreen,My skin feels smooth and healthy,5,Positive,Normal,13-04-2022,Mid,Yes
Vitamin C Serum,SkinPure,Serum,Very effective and gentle on my skin,5,Positive,Combination,16-05-2022,High,No
Vitamin C Serum,SkinPure,Serum,Neither good nor bad,3,Neutral,Combination,11-06-2022,High,No
Aloe Vera Gel,NatureCare,Gel,Very effective and gentle on my skin,5,Positive,Normal,09-01-2022,Low,No
Vitamin C Serum,SkinPure,Serum,Not bad but takes time to show effect,3,Neutral,Oily,20-04-2022,High,Yes
Aloe Vera Gel,NatureCare,Gel,I can see visible results within a week,5,Positive,Dry,05-01-2024,Low,No
Aloe Vera Gel,NatureCare,Gel,Very effective and gentle on my skin,5,Positive,Sensitive,15-09-2022,Low,Yes
Sunscreen SPF 50,SunSafe,Sunscreen,"Average results, expected more",3,Neutral,Oily,04-01-2022,Mid,No
Aloe Vera Gel,NatureCare,Gel,Very disappointing product,2,Negative,Sensitive,19-07-2023,Low,No
Hydrating Face Cream,NeutriGlow,Moisturizer,Very disappointing product,1,Negative,Oily,09-12-2023,Mid,Yes
Hydrating Face Cream,NeutriGlow,Moisturizer,Decent product for the price,3,Neutral,Normal,20-07-2023,Mid,Yes
Vitamin C Serum,SkinPure,Serum,No improvement after usage,1,Negative,Combination,09-01-2023,High,Yes
Vitamin C Serum,SkinPure,Serum,Very disappointing product,2,Negative,Oily,29-12-2022,High,No
Vitamin C Serum,SkinPure,Serum,Not worth the money,2,Negative,Dry,30-03-2024,High,Yes
Hydrating Face Cream,NeutriGlow,Moisturizer,Caused irritation and redness,2,Negative,Combination,12-03-2024,Mid,No
Aloe Vera Gel,NatureCare,Gel,Not worth the money,2,Negative,Oily,27-01-2023,Low,Yes
Vitamin C Serum,SkinPure,Serum,Caused irritation and redness,2,Negative,Sensitive,25-12-2022,High,No
Vitamin C Serum,SkinPure,Serum,No improvement after usage,1,Negative,Dry,13-02-2023,High,No
Hydrating Face Cream,NeutriGlow,Moisturizer,Neither good nor bad,3,Neutral,Combination,19-10-2023,Mid,No
Aloe Vera Gel,NatureCare,Gel,Caused irritation and redness,1,Negative,Oily,17-06-2024,Low,No
Anti-Acne Face Wash,ClearSkin,Cleanser,Not bad but takes time to show effect,3,Neutral,Oily,22-04-2022,Low,No
Aloe Vera Gel,NatureCare,Gel,"Amazing product, worth the price",4,Positive,Normal,08-06-2023,Low,Yes
Anti-Acne Face Wash,ClearSkin,Cleanser,Did not suit my skin,2,Negative,Combination,15-02-2022,Low,No
Anti-Acne Face Wash,ClearSkin,Cleanser,Very effective and gentle on my skin,5,Positive,Dry,08-01-2023,Low,No
Aloe Vera Gel,NatureCare,Gel,Highly recommended for daily use,5,Positive,Combination,11-11-2023,Low,Yes
Anti-Acne Face Wash,ClearSkin,Cleanser,Not bad but takes time to show effect,3,Neutral,Sensitive,01-12-2022,Low,No
Anti-Acne Face Wash,ClearSkin,Cleanser,Caused irritation and redness,2,Negative,Dry,07-03-2023,Low,No
Anti-Acne Face Wash,ClearSkin,Cleanser,Highly recommended for daily use,5,Positive,Combination,20-02-2023,Low,Yes
Aloe Vera Gel,NatureCare,Gel,Not worth the money,2,Negative,Sensitive,15-03-2024,Low,No
Sunscreen SPF 50,SunSafe,Sunscreen,I can see visible results within a week,4,Positive,Dry,08-06-2023,Mid,No
Hydrating Face Cream,NeutriGlow,Moisturizer,"Product is okay, nothing special",3,Neutral,Normal,11-11-2023,Mid,No
Vitamin C Serum,SkinPure,Serum,"Average results, expected more",3,Neutral,Dry,05-04-2024,High,Yes
Hydrating Face Cream,NeutriGlow,Moisturizer,Not worth the money,1,Negative,Dry,02-05-2023,Mid,Yes
Sunscreen SPF 50,SunSafe,Sunscreen,"Amazing product, worth the price",5,Positive,Dry,06-01-2024,Mid,No
Sunscreen SPF 50,SunSafe,Sunscreen,Did not suit my skin,2,Negative,Dry,03-11-2023,Mid,Yes
Sunscreen SPF 50,SunSafe,Sunscreen,Did not suit my skin,2,Negative,Dry,03-04-2024,Mid,No
Anti-Acne Face Wash,ClearSkin,Cleanser,Not worth the money,2,Negative,Oily,13-04-2023,Low,Yes
Anti-Acne Face Wash,ClearSkin,Cleanser,My skin feels smooth and healthy,5,Positive,Normal,21-11-2022,Low,No
Anti-Acne Face Wash,ClearSkin,Cleanser,"Amazing product, worth the price",4,Positive,Normal,02-04-2023,Low,Yes
Sunscreen SPF 50,SunSafe,Sunscreen,Neither good nor bad,3,Neutral,Dry,10-05-2024,Mid,No
Sunscreen SPF 50,SunSafe,Sunscreen,No improvement after usage,2,Negative,Combination,27-03-2023,Mid,Yes
Vitamin C Serum,SkinPure,Serum,"Average results, expected more",3,Neutral,Combination,24-11-2022,High,Yes
Vitamin C Serum,SkinPure,Serum,Caused irritation and redness,2,Negative,Sensitive,12-12-2023,High,Yes
Hydrating Face Cream,NeutriGlow,Moisturizer,"Amazing product, worth the price",4,Positive,Sensitive,05-12-2022,Mid,No
Hydrating Face Cream,NeutriGlow,Moisturizer,Very disappointing product,2,Negative,Sensitive,03-02-2023,Mid,Yes
Sunscreen SPF 50,SunSafe,Sunscreen,"Amazing product, worth the price",4,Positive,Oily,27-12-2022,Mid,No
Sunscreen SPF 50,SunSafe,Sunscreen,"Amazing product, worth the price",5,Positive,Normal,30-03-2024,Mid,Yes
Vitamin C Serum,SkinPure,Serum,Decent product for the price,3,Neutral,Sensitive,13-05-2023,High,Yes
Aloe Vera Gel,NatureCare,Gel,I can see visible results within a week,4,Positive,Dry,10-05-2024,Low,No
Anti-Acne Face Wash,ClearSkin,Cleanser,Very effective and gentle on my skin,5,Positive,Oily,08-02-2023,Low,Yes
Sunscreen SPF 50,SunSafe,Sunscreen,No improvement after usage,2,Negative,Sensitive,06-07-2022,Mid,Yes
Sunscreen SPF 50,SunSafe,Sunscreen,Not bad but takes time to show effect,3,Neutral,Dry,11-04-2023,Mid,No
Sunscreen SPF 50,SunSafe,Sunscreen,Decent product for the price,3,Neutral,Sensitive,16-09-2022,Mid,Yes
Hydrating Face Cream,NeutriGlow,Moisturizer,Very effective and gentle on my skin,5,Positive,Oily,25-12-2022,Mid,Yes
Hydrating Face Cream,NeutriGlow,Moisturizer,Very disappointing product,1,Negative,Dry,24-07-2022,Mid,Yes
Vitamin C Serum,SkinPure,Serum,Very disappointing product,2,Negative,Dry,30-04-2023,High,Yes
Vitamin C Serum,SkinPure,Serum,I can see visible results within a week,4,Positive,Combination,25-02-2024,High,No
Anti-Acne Face Wash,ClearSkin,Cleanser,Highly recommended for daily use,5,Positive,Oily,07-03-2024,Low,Yes
Hydrating Face Cream,NeutriGlow,Moisturizer,"Amazing product, worth the price",5,Positive,Oily,16-11-2022,Mid,No
Vitamin C Serum,SkinPure,Serum,Did not suit my skin,1,Negative,Normal,09-12-2023,High,Yes
Aloe Vera Gel,NatureCare,Gel,Highly recommended for daily use,5,Positive,Oily,26-03-2024,Low,Yes
Anti-Acne Face Wash,ClearSkin,Cleanser,Very effective and gentle on my skin,4,Positive,Combination,12-03-2022,Low,No
Sunscreen SPF 50,SunSafe,Sunscreen,"Amazing product, worth the price",4,Positive,Oily,20-03-2023,Mid,No
Vitamin C Serum,SkinPure,Serum,My skin feels smooth and healthy,4,Positive,Dry,22-01-2024,High,No
Anti-Acne Face Wash,ClearSkin,Cleanser,Highly recommended for daily use,4,Positive,Sensitive,23-03-2023,Low,No
Vitamin C Serum,SkinPure,Serum,Not worth the money,1,Negative,Combination,07-04-2023,High,Yes
Anti-Acne Face Wash,ClearSkin,Cleanser,"Amazing product, worth the price",5,Positive,Sensitive,11-12-2022,Low,Yes
Aloe Vera Gel,NatureCare,Gel,No improvement after usage,2,Negative,Sensitive,06-08-2022,Low,No
Aloe Vera Gel,NatureCare,Gel,Neither good nor bad,3,Neutral,Normal,20-12-2023,Low,No
Hydrating Face Cream,NeutriGlow,Moisturizer,"Amazing product, worth the price",5,Positive,Dry,29-03-2022,Mid,Yes
Sunscreen SPF 50,SunSafe,Sunscreen,"Amazing product, worth the price",5,Positive,Dry,09-12-2023,Mid,No
Sunscreen SPF 50,SunSafe,Sunscreen,Not worth the money,1,Negative,Oily,29-10-2022,Mid,Yes
Vitamin C Serum,SkinPure,Serum,Neither good nor bad,3,Neutral,Normal,13-01-2023,High,No
Anti-Acne Face Wash,ClearSkin,Cleanser,Not bad but takes time to show effect,3,Neutral,Sensitive,03-02-2024,Low,No
Sunscreen SPF 50,SunSafe,Sunscreen,"Product is okay, nothing special",3,Neutral,Combination,15-09-2022,Mid,Yes
Vitamin C Serum,SkinPure,Serum,"Average results, expected more",3,Neutral,Oily,31-01-2024,High,Yes
Vitamin C Serum,SkinPure,Serum,Very effective and gentle on my skin,4,Positive,Combination,12-01-2024,High,No
Vitamin C Serum,SkinPure,Serum,Not bad but takes time to show effect,3,Neutral,Dry,05-01-2023,High,Yes
Hydrating Face Cream,NeutriGlow,Moisturizer,Very effective and gentle on my skin,5,Positive,Dry,08-10-2022,Mid,Yes
Anti-Acne Face Wash,ClearSkin,Cleanser,"Product is okay, nothing special",3,Neutral,Dry,16-10-2023,Low,No
Hydrating Face Cream,NeutriGlow,Moisturizer,"Amazing product, worth the price",5,Positive,Combination,26-04-2023,Mid,No
Aloe Vera Gel,NatureCare,Gel,Did not suit my skin,2,Negative,Oily,16-09-2022,Low,No
Hydrating Face Cream,NeutriGlow,Moisturizer,I can see visible results within a week,4,Positive,Sensitive,17-03-2022,Mid,Yes
Vitamin C Serum,SkinPure,Serum,Very effective and gentle on my skin,5,Positive,Combination,29-03-2022,High,Yes
Anti-Acne Face Wash,ClearSkin,Cleanser,My skin feels smooth and healthy,4,Positive,Normal,03-09-2023,Low,Yes
Sunscreen SPF 50,SunSafe,Sunscreen,Highly recommended for daily use,4,Positive,Sensitive,01-11-2022,Mid,No
Anti-Acne Face Wash,ClearSkin,Cleanser,I can see visible results within a week,5,Positive,Oily,17-09-2023,Low,Yes
Vitamin C Serum,SkinPure,Serum,"Average results, expected more",3,Neutral,Oily,10-06-2022,High,Yes
Anti-Acne Face Wash,ClearSkin,Cleanser,Not worth the money,1,Negative,Dry,03-01-2022,Low,No
Anti-Acne Face Wash,ClearSkin,Cleanser,Highly recommended for daily use,4,Positive,Combination,03-02-2022,Low,Yes
Aloe Vera Gel,NatureCare,Gel,Highly recommended for daily use,4,Positive,Oily,05-12-2023,Low,Yes
Anti-Acne Face Wash,ClearSkin,Cleanser,Caused irritation and redness,2,Negative,Sensitive,28-04-2022,Low,Yes
Aloe Vera Gel,NatureCare,Gel,No improvement after usage,2,Negative,Oily,03-03-2022,Low,Yes
Anti-Acne Face Wash,ClearSkin,Cleanser,"Amazing product, worth the price",5,Positive,Combination,26-03-2023,Low,Yes
Aloe Vera Gel,NatureCare,Gel,"Amazing product, worth the price",4,Positive,Combination,28-05-2023,Low,No
Hydrating Face Cream,NeutriGlow,Moisturizer,My skin feels smooth and healthy,5,Positive,Oily,19-03-2023,Mid,No
Aloe Vera Gel,NatureCare,Gel,No improvement after usage,1,Negative,Oily,23-08-2022,Low,Yes
Anti-Acne Face Wash,ClearSkin,Cleanser,No improvement after usage,1,Negative,Dry,27-04-2023,Low,No
Vitamin C Serum,SkinPure,Serum,Very effective and gentle on my skin,5,Positive,Sensitive,13-10-2023,High,No
Sunscreen SPF 50,SunSafe,Sunscreen,"Product is okay, nothing special",3,Neutral,Sensitive,08-12-2022,Mid,No
Vitamin C Serum,SkinPure,Serum,Not bad but takes time to show effect,3,Neutral,Sensitive,12-12-2023,High,No
Sunscreen SPF 50,SunSafe,Sunscreen,Highly recommended for daily use,5,Positive,Oily,11-04-2023,Mid,Yes
Aloe Vera Gel,NatureCare,Gel,Neither good nor bad,3,Neutral,Oily,02-03-2024,Low,No
Hydrating Face Cream,NeutriGlow,Moisturizer,I can see visible results within a week,5,Positive,Sensitive,28-02-2023,Mid,Yes
Anti-Acne Face Wash,ClearSkin,Cleanser,Decent product for the price,3,Neutral,Normal,14-02-2024,Low,No
Hydrating Face Cream,NeutriGlow,Moisturizer,No improvement after usage,2,Negative,Combination,17-07-2023,Mid,Yes
Sunscreen SPF 50,SunSafe,Sunscreen,I can see visible results within a week,4,Positive,Oily,30-01-2022,Mid,Yes
Aloe Vera Gel,NatureCare,Gel,Very effective and gentle on my skin,5,Positive,Oily,20-07-2023,Low,No
Vitamin C Serum,SkinPure,Serum,Not worth the money,1,Negative,Sensitive,01-05-2022,High,Yes
Aloe Vera Gel,NatureCare,Gel,"Amazing product, worth the price",5,Positive,Combination,02-03-2023,Low,No
Vitamin C Serum,SkinPure,Serum,I can see visible results within a week,4,Positive,Normal,29-05-2022,High,No
Anti-Acne Face Wash,ClearSkin,Cleanser,Highly recommended for daily use,5,Positive,Dry,03-06-2024,Low,Yes
Sunscreen SPF 50,SunSafe,Sunscreen,Not bad but takes time to show effect,3,Neutral,Normal,01-10-2022,Mid,Yes
Aloe Vera Gel,NatureCare,Gel,I can see visible results within a week,5,Positive,Normal,07-11-2023,Low,No
Sunscreen SPF 50,SunSafe,Sunscreen,My skin feels smooth and healthy,5,Positive,Sensitive,20-12-2022,Mid,No
Anti-Acne Face Wash,ClearSkin,Cleanser,I can see visible results within a week,4,Positive,Sensitive,26-11-2022,Low,Yes
Anti-Acne Face Wash,ClearSkin,Cleanser,Very effective and gentle on my skin,4,Positive,Dry,26-05-2024,Low,No
Aloe Vera Gel,NatureCare,Gel,"Amazing product, worth the price",4,Positive,Sensitive,31-01-2023,Low,Yes
Hydrating Face Cream,NeutriGlow,Moisturizer,Did not suit my skin,2,Negative,Normal,28-08-2023,Mid,No
Sunscreen SPF 50,SunSafe,Sunscreen,Caused irritation and redness,1,Negative,Normal,13-04-2023,Mid,Yes
Sunscreen SPF 50,SunSafe,Sunscreen,No improvement after usage,2,Negative,Oily,26-04-2023,Mid,No
Anti-Acne Face Wash,ClearSkin,Cleanser,My skin feels smooth and healthy,4,Positive,Oily,22-05-2024,Low,No
Sunscreen SPF 50,SunSafe,Sunscreen,Neither good nor bad,3,Neutral,Sensitive,12-06-2024,Mid,Yes
Hydrating Face Cream,NeutriGlow,Moisturizer,Not worth the money,2,Negative,Combination,21-08-2022,Mid,Yes
Hydrating Face Cream,NeutriGlow,Moisturizer,Did not suit my skin,1,Negative,Sensitive,20-06-2022,Mid,No
Hydrating Face Cream,NeutriGlow,Moisturizer,Not bad but takes time to show effect,3,Neutral,Oily,28-10-2022,Mid,No
Sunscreen SPF 50,SunSafe,Sunscreen,Very disappointing product,2,Negative,Dry,28-06-2023,Mid,No
Vitamin C Serum,SkinPure,Serum,Very disappointing product,2,Negative,Dry,22-03-2022,High,No
Vitamin C Serum,SkinPure,Serum,"Amazing product, worth the price",4,Positive,Normal,27-05-2022,High,Yes
Aloe Vera Gel,NatureCare,Gel,"Amazing product, worth the price",4,Positive,Combination,14-11-2023,Low,Yes
Aloe Vera Gel,NatureCare,Gel,Highly recommended for daily use,5,Positive,Dry,17-03-2022,Low,No
Anti-Acne Face Wash,ClearSkin,Cleanser,Decent product for the price,3,Neutral,Sensitive,08-12-2023,Low,No
Aloe Vera Gel,NatureCare,Gel,Did not suit my skin,2,Negative,Sensitive,23-05-2024,Low,No
Vitamin C Serum,SkinPure,Serum,Highly recommended for daily use,4,Positive,Normal,03-01-2023,High,No
Hydrating Face Cream,NeutriGlow,Moisturizer,My skin feels smooth and healthy,4,Positive,Combination,09-01-2022,Mid,Yes
Sunscreen SPF 50,SunSafe,Sunscreen,"Average results, expected more",3,Neutral,Dry,14-09-2023,Mid,No
Vitamin C Serum,SkinPure,Serum,Very effective and gentle on my skin,5,Positive,Combination,26-11-2023,High,Yes
Hydrating Face Cream,NeutriGlow,Moisturizer,"Average results, expected more",3,Neutral,Sensitive,04-02-2022,Mid,No
Hydrating Face Cream,NeutriGlow,Moisturizer,"Average results, expected more",3,Neutral,Combination,05-02-2024,Mid,No
Vitamin C Serum,SkinPure,Serum,Very disappointing product,2,Negative,Normal,16-06-2024,High,No
Anti-Acne Face Wash,ClearSkin,Cleanser,Not bad but takes time to show effect,3,Neutral,Dry,21-09-2022,Low,No
Aloe Vera Gel,NatureCare,Gel,Caused irritation and redness,1,Negative,Sensitive,19-03-2022,Low,Yes
Sunscreen SPF 50,SunSafe,Sunscreen,Very effective and gentle on my skin,5,Positive,Combination,03-04-2022,Mid,No
Aloe Vera Gel,NatureCare,Gel,Highly recommended for daily use,5,Positive,Oily,11-04-2023,Low,No
Anti-Acne Face Wash,ClearSkin,Cleanser,"Amazing product, worth the price",4,Positive,Combination,21-04-2022,Low,Yes
Hydrating Face Cream,NeutriGlow,Moisturizer,Very effective and gentle on my skin,5,Positive,Normal,02-12-2022,Mid,Yes
Sunscreen SPF 50,SunSafe,Sunscreen,"Product is okay, nothing special",3,Neutral,Sensitive,30-04-2022,Mid,Yes
Hydrating Face Cream,NeutriGlow,Moisturizer,"Average results, expected more",3,Neutral,Sensitive,29-04-2022,Mid,Yes
Anti-Acne Face Wash,ClearSkin,Cleanser,Very disappointing product,2,Negative,Sensitive,10-04-2023,Low,No
Sunscreen SPF 50,SunSafe,Sunscreen,"Amazing product, worth the price",5,Positive,Dry,01-03-2023,Mid,Yes
Anti-Acne Face Wash,ClearSkin,Cleanser,I can see visible results within a week,4,Positive,Combination,03-02-2022,Low,No
Sunscreen SPF 50,SunSafe,Sunscreen,Very effective and gentle on my skin,4,Positive,Dry,25-05-2024,Mid,No
Aloe Vera Gel,NatureCare,Gel,Highly recommended for daily use,5,Positive,Combination,04-03-2022,Low,No
Vitamin C Serum,SkinPure,Serum,Very disappointing product,1,Negative,Sensitive,04-04-2022,High,Yes
Hydrating Face Cream,NeutriGlow,Moisturizer,Very disappointing product,1,Negative,Combination,07-09-2022,Mid,Yes
Vitamin C Serum,SkinPure,Serum,Caused irritation and redness,1,Negative,Normal,01-08-2022,High,Yes
Aloe Vera Gel,NatureCare,Gel,Caused irritation and redness,2,Negative,Normal,03-01-2022,Low,No
Vitamin C Serum,SkinPure,Serum,Very effective and gentle on my skin,5,Positive,Combination,28-03-2024,High,Yes
Hydrating Face Cream,NeutriGlow,Moisturizer,Very disappointing product,2,Negative,Oily,02-01-2023,Mid,Yes
Aloe Vera Gel,NatureCare,Gel,Caused irritation and redness,1,Negative,Dry,29-09-2022,Low,Yes
Sunscreen SPF 50,SunSafe,Sunscreen,"Amazing product, worth the price",5,Positive,Oily,03-02-2024,Mid,Yes
Sunscreen SPF 50,SunSafe,Sunscreen,Decent product for the price,3,Neutral,Normal,31-08-2023,Mid,Yes
Anti-Acne Face Wash,ClearSkin,Cleanser,Not worth the money,2,Negative,Normal,14-02-2022,Low,No
Hydrating Face Cream,NeutriGlow,Moisturizer,Not worth the money,1,Negative,Sensitive,17-05-2024,Mid,No
Hydrating Face Cream,NeutriGlow,Moisturizer,Highly recommended for daily use,4,Positive,Sensitive,17-03-2022,Mid,Yes
Anti-Acne Face Wash,ClearSkin,Cleanser,Very disappointing product,2,Negative,Oily,10-05-2022,Low,No
Anti-Acne Face Wash,ClearSkin,Cleanser,"Amazing product, worth the price",5,Positive,Combination,26-01-2023,Low,No
Anti-Acne Face Wash,ClearSkin,Cleanser,My skin feels smooth and healthy,5,Positive,Sensitive,12-04-2022,Low,Yes
Vitamin C Serum,SkinPure,Serum,Highly recommended for daily use,4,Positive,Sensitive,22-08-2022,High,No
Sunscreen SPF 50,SunSafe,Sunscreen,Highly recommended for daily use,4,Positive,Sensitive,18-01-2024,Mid,Yes
Sunscreen SPF 50,SunSafe,Sunscreen,Decent product for the price,3,Neutral,Combination,19-01-2023,Mid,Yes
Hydrating Face Cream,NeutriGlow,Moisturizer,Did not suit my skin,1,Negative,Oily,06-04-2022,Mid,No
Aloe Vera Gel,NatureCare,Gel,Did not suit my skin,2,Negative,Normal,03-03-2022,Low,No
Sunscreen SPF 50,SunSafe,Sunscreen,Not bad but takes time to show effect,3,Neutral,Sensitive,07-06-2024,Mid,Yes
Anti-Acne Face Wash,ClearSkin,Cleanser,"Average results, expected more",3,Neutral,Combination,17-04-2022,Low,Yes
Sunscreen SPF 50,SunSafe,Sunscreen,Did not suit my skin,2,Negative,Oily,25-12-2022,Mid,No
Aloe Vera Gel,NatureCare,Gel,My skin feels smooth and healthy,5,Positive,Dry,06-04-2024,Low,No
Anti-Acne Face Wash,ClearSkin,Cleanser,Very effective and gentle on my skin,5,Positive,Normal,27-01-2022,Low,No
Vitamin C Serum,SkinPure,Serum,"Product is okay, nothing special",3,Neutral,Combination,14-12-2022,High,No
Vitamin C Serum,SkinPure,Serum,Did not suit my skin,2,Negative,Normal,05-11-2023,High,No
Vitamin C Serum,SkinPure,Serum,Not worth the money,1,Negative,Oily,04-02-2024,High,Yes
Sunscreen SPF 50,SunSafe,Sunscreen,Highly recommended for daily use,4,Positive,Combination,11-06-2022,Mid,No
Aloe Vera Gel,NatureCare,Gel,I can see visible results within a week,5,Positive,Normal,28-03-2022,Low,Yes
Vitamin C Serum,SkinPure,Serum,Highly recommended for daily use,5,Positive,Oily,22-11-2023,High,Yes
Sunscreen SPF 50,SunSafe,Sunscreen,"Amazing product, worth the price",4,Positive,Sensitive,14-09-2023,Mid,No
Aloe Vera Gel,NatureCare,Gel,Not worth the money,2,Negative,Normal,27-04-2022,Low,No
Hydrating Face Cream,NeutriGlow,Moisturizer,"Product is okay, nothing special",3,Neutral,Normal,14-05-2023,Mid,No
Vitamin C Serum,SkinPure,Serum,I can see visible results within a week,4,Positive,Normal,26-02-2022,High,Yes
Aloe Vera Gel,NatureCare,Gel,No improvement after usage,2,Negative,Dry,22-02-2024,Low,No
Aloe Vera Gel,NatureCare,Gel,Caused irritation and redness,1,Negative,Oily,25-05-2023,Low,No
